class | Palavra Reservada | 0  | 0 
Analise | Identificador[0] | 0  | 6 
( | Delimitador | 0  | 13 
object | Palavra Reservada | 0  | 14 
) | Delimitador | 0  | 18 
: | Delimitador | 0  | 21 
def | Palavra Reservada | 2  | 4 
analisaFrase | Identificador[0] | 2  | 8 
( | Delimitador | 2  | 20 
self | Palavra Reservada | 2  | 21 
, | Delimitador | 2  | 23 
letra | Identificador[1] | 2  | 27 
, | Delimitador | 2  | 32 
palavra | Identificador[2] | 2  | 34 
) | Delimitador | 2  | 42 
: | Delimitador | 2  | 43 
# | Identificador[3] | 2  | 45 
rece | Identificador[4] | 2  | 47 
a | Identificador[5] | 2  | 52 
paavra | Identificador[6] | 2  | 54 
for | Palavra Reservada | 2  | 61 
mada | Identificador[7] | 2  | 62 
ate | Identificador[8] | 2  | 69 
o | Identificador[9] | 2  | 73 
momento | Identificador[10] | 2  | 75 
e | Identificador[11] | 2  | 83 
o | Identificador[12] | 2  | 85 
caracter | Identificador[13] | 2 
#Ler | Identificador[0] | 4  | 8 
list | Palavra Reservada | 4  | 13 
a | Identificador[1] | 4  | 15 
de | Identificador[2] | 4  | 19 
tokens | Identificador[3] | 4 
arquivo | Identificador[0] | 5  | 8 
= | Delimitador | 5  | 16 
open | Identificador[1] | 5  | 18 
( | Delimitador | 5  | 22 
' | Delimitador | 5  | 23 
keywords | Identificador[2] | 5  | 24 
. | Delimitador | 5  | 32 
txt | Identificador[3] | 5  | 33 
' | Delimitador | 5  | 36 
, | Delimitador | 5  | 37 
' | Delimitador | 5  | 39 
r | Identificador[4] | 5  | 40 
' | Delimitador | 5  | 41 
) | Delimitador | 5  | 42 
print | Palavra Reservada | 6  | 8 
( | Delimitador | 6  | 11 
"inicio" | Identificador[0] | 6  | 14 
) | Delimitador | 6  | 22 
print | Palavra Reservada | 7  | 8 
( | Delimitador | 7  | 11 
letra | Identificador[0] | 7  | 14 
) | Delimitador | 7  | 19 
print | Palavra Reservada | 8  | 8 
( | Delimitador | 8  | 11 
palavra | Identificador[0] | 8  | 14 
) | Delimitador | 8  | 21 
for | Palavra Reservada | 10  | 8 
linha | Identificador[0] | 10  | 12 
in | Palavra Reservada | 10  | 18 
arquivo | Identificador[1] | 10  | 21 
: | Delimitador | 10  | 28 
token | Identificador[0] | 11  | 12 
= | Delimitador | 11  | 18 
linha | Identificador[1] | 11  | 20 
. | Delimitador | 11  | 25 
split | Palavra Reservada | 11  | 26 
( | Delimitador | 11  | 29 
' | Delimitador | 11  | 32 
' | Delimitador | 11  | 34 
) | Delimitador | 11  | 35 
if | Palavra Reservada | 13  | 12 
( | Delimitador | 13  | 12 
letra | Identificador[0] | 13  | 15 
= | Delimitador | 13  | 21 
= | Delimitador | 13  | 22 
token | Identificador[1] | 13  | 24 
[ | Delimitador | 13  | 29 
1 | Identificador[2] | 13  | 30 
] | Delimitador | 13  | 31 
) | Delimitador | 13  | 32 
: | Delimitador | 13  | 33 
return | Palavra Reservada | 14  | 16 
[ | Delimitador | 14  | 23 
letra | Identificador[0] | 14  | 24 
, | Delimitador | 14  | 29 
token | Identificador[1] | 14  | 31 
[ | Delimitador | 14  | 36 
0 | Identificador[2] | 14  | 37 
] | Delimitador | 14  | 38 
] | Delimitador | 14  | 39 
elif | Palavra Reservada | 15  | 12 
( | Delimitador | 15  | 14 
palavra | Identificador[0] | 15  | 17 
= | Delimitador | 15  | 25 
= | Delimitador | 15  | 26 
token | Identificador[1] | 15  | 28 
[ | Delimitador | 15  | 33 
1 | Identificador[2] | 15  | 34 
] | Delimitador | 15  | 35 
) | Delimitador | 15  | 36 
: | Delimitador | 15  | 37 
return | Palavra Reservada | 16  | 16 
[ | Delimitador | 16  | 23 
palavra | Identificador[0] | 16  | 24 
, | Delimitador | 16  | 31 
token | Identificador[1] | 16  | 33 
[ | Delimitador | 16  | 38 
0 | Identificador[2] | 16  | 39 
] | Delimitador | 16  | 40 
] | Delimitador | 16  | 41 
elif | Palavra Reservada | 17  | 12 
( | Delimitador | 17  | 14 
str | Identificador[0] | 17  | 17 
( | Delimitador | 17  | 20 
letra | Identificador[1] | 17  | 21 
) | Delimitador | 17  | 26 
= | Delimitador | 17  | 28 
= | Delimitador | 17  | 29 
" | Identificador[2] | 17  | 31 
" | Identificador[3] | 17  | 33 
) | Delimitador | 17  | 34 
: | Delimitador | 17  | 35 
return | Palavra Reservada | 18  | 16 
[ | Delimitador | 18  | 23 
letra | Identificador[0] | 18  | 24 
, | Delimitador | 18  | 29 
palavra | Identificador[1] | 18  | 31 
] | Delimitador | 18  | 38 
return | Palavra Reservada | 20  | 8 
[ | Delimitador | 20  | 15 
None | Identificador[0] | 20  | 16 
, | Delimitador | 20  | 20 
None | Identificador[1] | 20  | 22 
] | Delimitador | 20  | 26 
def | Palavra Reservada | 22  | 4 
verificaFrase | Identificador[0] | 22  | 8 
( | Delimitador | 22  | 21 
self | Palavra Reservada | 22  | 22 
, | Delimitador | 22  | 24 
frase | Identificador[1] | 22  | 28 
, | Delimitador | 22  | 33 
